MODEL     ,     RMSE,      MAE,     MAPE,        R2, FUTURE_LAG,SEASON 
MLR       ,"52,19708","37,87136","91,89475","0,4155507",24,winter 
MLR LASSO ,"53,09233","37,49482","82,96298","0,3953306",24,winter 
MLR ln(PM2.5)   ,"54,95484","36,36784","64,45146","0,3521621",24,winter 
"ANN (5, 5), threshold = 0.5","54,096122","38,423912","81,948028","0,37202854",24,winter 
"SVR gamma = 0.000977, epsilon = 0.25, C = 4    ","55,77505","38,5942","74,87463","0,3326796",24,winter 
MLR       ,"16,57797","11,63136","60,92211","0,1390605",24,spring 
MLR LASSO ,"16,66655","12,21949","72,48198","0,1298363",24,spring 
MLR ln(PM2.5)   ,"16,70776","11,22223","54,91689","0,1255269",24,spring 
"ANN (4, 3), threshold = 0.7","16,794252","12,673062","75,094622","0,11620618",24,spring 
"SVR gamma = 0.000977, epsilon = 0.25, C = 0.25  ","16,0718","11,32602","60,0773","0,1908319",24,spring 
MLR       ,"8,832782","6,796416","49,7808","0,1543385",24,summer 
MLR LASSO ,"8,575021","6,645171","51,19188","0,2029752",24,summer 
MLR ln(PM2.5)   ,"8,869874","6,682591","44,03154","0,1472213",24,summer 
"ANN (5, 5), threshold = 0.7 ","8,7339486","6,7700716","50,511288","0,17307126",24,summer 
"SVR gamma = 0.000244, epsilon = 0.5, C = 0.25    ","8,5993","6,765152","51,18965","0,1984555",24,summer 
MLR       ,"26,56034","18,98477","66,7347","0,170893",24,autumn 
MLR LASSO ,"26,30325","18,71194","65,03257","0,1868663",24,autumn 
MLR ln(PM2.5)   ,"27,24501","18,21777","52,50317","0,1275973",24,autumn 
"ANN (3, 2), threshold = 0.3","25,869962","18,889418","73,833928","0,21281178",24,autumn 
"SVR gamma = 0.000244, epsilon = 0.5, C = 16      ","26,59559","18,56401","58,1611","0,1686913",24,autumn 
