Same Season,,,,,,,,,,,,,,
ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS
MODEL           ,     RMSE,      MAE,      MAPE,        R2, FUTURE_LAG,SEASON ,,MODEL           ,     RMSE,      MAE,     MAPE,         R2, FUTURE_LAG,SEASON 
mlp1_5_5_th_0.7 ,"55,28411","39,8542","89,11859","0,3443755",24,winter ,,mlp1_4_3_th_0.7 ,"16,55632","12,36011","71,89622","0,1413077",24,spring 
mlp2_5_5_th_0.7 ,"52,91056","37,18499","73,39812","0,3994639",24,winter ,,mlp2_4_3_th_0.7 ,"16,5334","12,52874","75,34624","0,1436835",24,spring 
mlp3_5_5_th_0.7 ,"53,85779","36,83459","71,77759","0,3777692",24,winter ,,mlp3_4_3_th_0.7 ,"17,09973","13,02993","78,10633","0,0840147",24,spring 
mlp4_5_5_th_0.7 ,"54,68805","37,31501","70,47315","0,3584369",24,winter ,,mlp4_4_3_th_0.7 ,"17,16658","12,97705","77,38255","0,0768389",24,spring 
mlp5_5_5_th_0.7 ,"54,49576","38,21083","79,82758","0,3629407",24,winter ,,mlp4_3_5_th_0.7 ,"16,61523","12,46948","72,74177","0,1351861",24,spring 
mlp1_5_5_th_0.5 ,"55,16863","38,70069","78,42642","0,3471118",24,winter ,,mlp1_4_3_th_0.5 ,"16,9938","12,82996","75,78871","0,0953288",24,spring 
mlp2_5_5_th_0.5 ,"54,3299","39,55515","88,56039","0,3668125",24,winter ,,mlp2_4_3_th_0.5 ,"16,93545","12,5332","73,03883","0,1015304",24,spring 
mlp3_5_5_th_0.5 ,"52,24617","37,66152","78,85296","0,4144509",24,winter ,,mlp3_4_3_th_0.5 ,"16,66756","12,40762","73,11169","0,1297307",24,spring 
mlp4_5_5_th_0.5 ,"54,80742","39,13804","90,52668","0,3556331",24,winter ,,mlp4_4_3_th_0.5 ,"17,02636","12,67886","74,09283","0,0918584",24,spring 
mlp5_5_5_th_0.5 ,"53,92849","37,06416","73,37369","0,3761344",24,winter ,,mlp4_3_5_th_0.5 ,"17,1846","12,61058","72,44815","0,0748998",24,spring 
mlp1_5_5_th_0.3 ,"60,45868","42,56303","83,92279","0,2158993",24,winter ,,mlp1_4_3_th_0.3 ,"16,91577","12,18382","66,61706","0,1036176",24,spring 
mlp2_5_5_th_0.3 ,"53,10488","37,61832","84,47538","0,3950448",24,winter ,,mlp2_4_3_th_0.3 ,"16,46126","11,91444","69,08034","0,1511402",24,spring 
mlp3_5_5_th_0.3 ,"61,03018","42,34575","82,42448","0,2010057",24,winter ,,mlp3_4_3_th_0.3 ,"17,47977","13,18896","80,32836","0,0428475",24,spring 
mlp4_5_5_th_0.3 ,"57,208","40,52207","95,95393","0,29795",24,winter ,,mlp4_4_3_th_0.3 ,"17,56594","13,27277","76,43824","0,0333873",24,spring 
mlp5_5_5_th_0.3 ,"56,88997","39,72642","77,67789","0,3057341",24,winter ,,mlp4_3_5_th_0.3 ,"16,68608","12,13323","67,63664","0,1277956",24,spring 
mlp1_5_5_th_0.1 ,"52,13355","36,43226","73,93607","0,4169725",24,winter ,,mlp1_4_3_th_0.1 ,"16,68294","11,80673","63,23908","0,1281236",24,spring 
mlp2_5_5_th_0.1 ,"53,30965","37,35414","74,97341","0,3903704",24,winter ,,mlp2_4_3_th_0.1 ,"16,57191","11,82782","65,41291","0,1396906",24,spring 
mlp3_5_5_th_0.1 ,"60,58915","43,84833","93,3765","0,2125115",24,winter ,,mlp3_4_3_th_0.1 ,"17,96998","13,56919","81,3562","-0,0115915",24,spring 
