Model,Season,RMSE [$\mu g/m^3$],MAE [$\mu g/m^3$],MAPE [$%$],R2 [$1$]
MLR                        ,winter ,48.811,39.168,167.854, 0.172
MLR LASSO                  ,winter ,45.958,35.550,143.292, 0.266
MLR ln(PM2.5)                    ,winter ,53.741,37.376,120.846,-0.0041
"ANN (5, 5), threshold = 0.5            ",winter ,54.436,39.555,142.626,-0.036
"SVR gamma = 0.000977, epsilon = 0.25, C = 4 ",winter ,46.879,34.710,126.105, 0.236
MLR                           ,spring ,15.311,11.434,100.162, 0.084
MLR LASSO                     ,spring ,14.999,10.806, 92.605, 0.121
MLR ln(PM2.5)                       ,spring ,14.745,10.115, 78.494, 0.150
"ANN (4, 3), threshold = 0.7               ",spring ,15.405,11.317,100.659, 0.072
"SVR gamma = 0.000977, epsilon = 0.25, C = 0.25 ",spring ,14.408, 9.870, 78.377, 0.189
MLR                          ,summer , 8.249, 6.227, 75.632,-0.016
MLR LASSO                    ,summer , 7.805, 5.946, 79.467, 0.091
MLR ln(PM2.5)                      ,summer , 7.944, 5.631, 58.589, 0.058
"ANN (5, 5), threshold = 0.7              ",summer , 8.086, 6.159, 81.154, 0.024
"SVR gamma = 0.000244, epsilon = 0.5, C = 0.25 ",summer , 7.777, 5.768, 71.923, 0.097
MLR                        ,autumn ,25.480,19.462,129.678,-0.094
MLR LASSO                  ,autumn ,22.074,15.951,107.828, 0.179
MLR ln(PM2.5)                    ,autumn ,23.399,15.643, 76.464, 0.078
"ANN (3, 2), threshold = 0.3            ",autumn ,23.810,17.150,111.232, 0.045
"SVR gamma = 0.000244, epsilon = 0.5, C = 16 ",autumn ,22.508,15.522, 97.826, 0.147
