MODEL              ,        RMSE,         MAE,        MAPE,           R2, FUTURE_LAG,SEASON 
mlp_4_7_8_th_0.45  , 35.63290547, 25.61135613, 74.26220884, 0.5674795953,24,winter 
mlp_4_3_12_th_0.5  , 36.12415494, 25.97329259, 78.77930726, 0.5554715901,24,winter 
mlp_4_7_12_th_0.55 , 36.52052233, 26.43300641, 83.08443450, 0.5456630168,24,winter 
mlp_4_3_8_th_0.5   , 36.64354662, 26.24763948, 77.88703841, 0.5425968706,24,winter 
mlp_4_3_8_th_0.45  , 36.64539546, 26.94098641, 79.62635778, 0.5425507132,24,winter 
mlp_2_3_12_th_0.55 , 36.89853420, 27.47864908, 83.78815834, 0.5362089566,24,winter 
mlp_3_5_10_th_0.45 , 37.01558126, 27.77522378, 81.44561173, 0.5332618757,24,winter 
mlp_2_7_12_th_0.5  , 37.09378044, 26.34423016, 81.42016469, 0.5312877292,24,winter 
mlp_2_3_8_th_0.5   , 37.20227702, 27.31116456, 84.71039045, 0.5285418215,24,winter 
mlp_2_3_12_th_0.5  , 37.27904261, 27.06823303, 83.58405479, 0.5265941393,24,winter 
mlp_4_3_12_th_0.45 , 37.36245664, 27.60483552, 77.45435067, 0.5244732228,24,winter 
mlp_3_5_10_th_0.5  , 37.37120886, 27.60793320, 81.16217608, 0.5242504106,24,winter 
mlp_2_3_12_th_0.6  , 37.38324263, 27.54237167, 87.83533153, 0.5239439724,24,winter 
mlp_4_7_12_th_0.5  , 37.43348107, 28.16776286, 83.02442105, 0.5226635922,24,winter 
mlp_4_7_8_th_0.5   , 37.56545173, 27.72573100, 80.80008033, 0.5192919878,24,winter 
mlp_2_7_8_th_0.5   , 37.62291828, 26.90631998, 80.17339703, 0.5178201164,24,winter 
mlp_2_7_8_th_0.4   , 37.86935060, 27.09196067, 81.74735274, 0.5114828163,24,winter 
mlp_2_7_8_th_0.6   , 37.91945409, 28.00492972, 91.37283974, 0.5101892843,24,winter 
mlp_2_7_12_th_0.6  , 38.10130000, 27.11586642, 83.74698502, 0.5054801634,24,winter 
mlp_2_3_12_th_0.4  , 38.10666330, 27.11007581, 87.32266221, 0.5053409322,24,winter 
mlp_2_7_12_th_0.55 , 38.23174915, 27.80266297, 84.24282597, 0.5020881466,24,winter 
mlp_4_3_8_th_0.6   , 38.37722042, 27.45491328, 78.13407660, 0.4982918426,24,winter 
mlp_2_3_8_th_0.55  , 38.45281354, 28.15368155, 86.62098992, 0.4963134276,24,winter 
mlp_2_7_8_th_0.45  , 38.62748397, 29.06548543, 88.96959491, 0.4917270807,24,winter 
mlp_2_3_12_th_0.45 , 38.69895971, 28.57224593, 86.79203821, 0.4898443385,24,winter 
mlp_2_3_8_th_0.45  , 38.70235152, 28.97367248, 84.79475270, 0.4897549084,24,winter 
mlp_4_7_12_th_0.6  , 38.73803893, 29.16371702, 84.02112029, 0.4888134813,24,winter 
mlp_4_3_12_th_0.6  , 38.86160765, 29.26770064, 86.33907219, 0.4855470582,24,winter 
mlp_4_7_8_th_0.6   , 38.90835364, 29.23241851, 89.54851217, 0.4843086599,24,winter 
mlp_2_7_8_th_0.55  , 38.94049103, 29.57650671, 88.77684395, 0.4834564101,24,winter 
mlp_3_5_10_th_0.6  , 39.07687608, 28.97099829, 85.15719059, 0.4798317926,24,winter 
mlp_2_3_8_th_0.4   , 39.21340098, 28.27868476, 85.79177552, 0.4761907661,24,winter 
mlp_2_7_12_th_0.45 , 39.39179042, 29.50186196, 86.99546829, 0.4714141042,24,winter 
mlp_3_5_10_th_0.4  , 39.61792687, 29.43146346, 86.11377967, 0.4653277785,24,winter 
mlp_3_5_10_th_0.55 , 39.74161384, 29.79941465, 89.47087606, 0.4619840790,24,winter 
mlp_4_7_12_th_0.4  , 39.77251722, 29.56036913, 84.58961201, 0.4611470231,24,winter 
mlp_4_7_8_th_0.55  , 39.88399740, 29.54317080, 89.34922771, 0.4581220390,24,winter 
mlp_2_7_12_th_0.4  , 40.03861653, 29.90111142, 88.47463897, 0.4539124759,24,winter 
mlp_4_7_8_th_0.4   , 40.77005234, 30.17297313, 86.88058932, 0.4337780939,24,winter 
mlp_2_3_8_th_0.6   , 40.84006952, 29.77469222, 86.30351427, 0.4318316015,24,winter 
mlp_4_3_12_th_0.4  , 41.06605802, 30.35079395, 84.92295689, 0.4255262852,24,winter 
mlp_4_3_12_th_0.55 , 41.37253852, 31.07707934, 85.97586544, 0.4169195674,24,winter 
mlp_4_7_12_th_0.45 , 42.01483694, 30.84402395, 91.57513426, 0.3986746757,24,winter 
mlp_4_3_8_th_0.55  , 42.91758449, 32.22329170, 89.37535884, 0.3725564331,24,winter 
mlp_4_3_8_th_0.4   , 43.43249159, 32.21140885, 87.77275768, 0.3574105102,24,winter 
