Source,Deterministic model,Regression,Neural network,ARMA,SVM,Fuzzy time series,Regression tree,Hidden Markov model,Lazy learning,Persistence model
\cite{GODLOWSKA2011},TRUE,,,,,,,,,
\cite{FINARDI2008},TRUE,,,,,,,,,
\cite{NATTAWUT2015},TRUE,,,,,,,,,
\cite{HOLNICKI2016},TRUE,,,,,,,,,
\cite{Paschalidou2009},,TRUE,,,,,,,,
\cite{COBOURN20103015},,TRUE,,,,,,,,
\cite{Sotoudeheian2014},,TRUE,,,,,,,,
\cite{GARCIANIETO201450},,TRUE,,,,,,,,
\cite{GARDNER1999709},,TRUE,TRUE,,,,,,,
\cite{PEREZ20024555},,,TRUE,,,,,,,
\cite{KUKKONEN2003},TRUE,TRUE,TRUE,,,,,,,
\cite{CORANI2005513},,,TRUE,,,,,,TRUE,
\cite{LOZOWICKA2005},,,TRUE,,,,,,,
\cite{AGIRREBASURKO2006430},,TRUE,TRUE,,,,,,,
\cite{VLACHOGIANNI20111559},,TRUE,TRUE,,,,,,,
\cite{SINGH2012244},,TRUE,TRUE,,,,,,,
\cite{Chellali2016},,,TRUE,,,,,,,
\cite{PEREZ201622},,TRUE,TRUE,,,,,,,TRUE
\cite{Pawul2016},,,TRUE,,,,,,,
\cite{BIANCOFIORE2017652},,TRUE,TRUE,,,,,,,
\cite{LUO201834},,,TRUE,TRUE,,,,,,
\cite{LI2017997},,,TRUE,TRUE,TRUE,,,,,
\cite{DOTSE2018358},,,TRUE,,,,TRUE,,,
\cite{DIAZROBLES20088331},,TRUE,TRUE,TRUE,,,,,,
\cite{CATALANO201669},,TRUE,TRUE,TRUE,,,,,,
\cite{WESTERLUND201422},,,TRUE,TRUE,,,,,,
\cite{YEGANEH2012357},,TRUE,,,TRUE,,,,,
\cite{SUN2017144},,,TRUE,,TRUE,,,,,
\cite{YANG201812},,,TRUE,TRUE,TRUE,,,,,
\cite{CHENG20112016},,,,TRUE,,TRUE,,,,
\cite{DOMANSKA20127673},,,,,,TRUE,,,,
\cite{GULERDINCER2018157},,,,,,TRUE,,,,
\cite{SIWEK2016},,,TRUE,,TRUE,,TRUE,,,
\cite{SUN201393},,,,,,,,TRUE,,
